superficie;price;adresse;image_link
300;2950000;Thies, Sénégal;https://sn.coinafrique.com/annonce/terrains/parcelle-mboro-sur-mer-5373555
500;750000000;Mamelles, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-500m-3-facades-corniche-mamelles-5375134
264;250000000;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-264m-a-demolir-a-biagui-virage-yoff-5398194
357;275000000;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-357m-angle-hangars-pelerins-yoff-5398203
732;1000000000;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-732m-pieds-dans-leau-virage-yoff-5379949
300;7500000;Mbour, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-300m2-popenguine-5419713
30000;650000000;Ziguinchor, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-30000m-ziguinchor-5414445
300;5000000;Mbour, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-popenguine-serere-5419745
150;25000000;Mbao, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-bail-individuel-grand-mbao-5404128
235;185000000;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-235-m2-angle-a-la-cite-djily-mbaye-yoff-5391350
300;130000000;Almadies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-300m-almadies-zone-de-recasement-5398452
167;80000000;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-167m-hangar-pelerin-yoff-5391366
367;370000000;Dieuppeul-Derklé, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-367m-a-dieuppeul-5381838
262;280000000;Mermoz-Sacré Coeur, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-262m-a-mermoz-sotrac-5391435
150;15000000;Keur Massar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-a-niacoulrab-5394693
150;15000000;Keur Massar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-apix-et-keur-massar-5394801
150;2000000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/parcelles-keur-abdou-5420029
200;Prixsurdemande;Thies, Sénégal;https://sn.coinafrique.com/annonce/terrains/100-terrains-tf-200m-entree-thies-5394849
150;9000000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-150m-ndiakhirate-5414822
180;5000000;Thies, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-a-pout-thies-bail-5394935
150;30000000;Almadies 2, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-almadies-2-5394924
150;5500000;Diamniadio, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-diamniadio-dougar-5390070
150;17000000;Almadies 2, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-tf-a-kounoune-5415098
150;15000000;Cambérène, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-a-keur-massar-cite-sud-est-5390086
7000;215000000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-7000m-sindia-5409785
3000;120000000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-3000-m-cloture-sindia-5409788
10000;180000000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-1ha-cloture-sindia-5409793
300;150000000;Ouest Foire, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-300m-almadie-5399288
500;40000000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-500m-mbour-5399317
150;4000000;Rufisque, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-6lots-150m-diamniadio-en-face-terminus-ter-5415574
7300;500000;Hann Bel-Air, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-7300-m-hann-5395493
