web-scraper-order,web-scraper-start-url,containers_links3,containers_links3-href,Nbre_pieces,nbre_salle_bain,superficie,adresse
"1752362029-28","https://sn.coinafrique.com/categorie/appartements","Location appartement  F3 Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-mamelles-5394906","3","2","","Mamelles, Dakar, Sénégal"
"1752362037-29","https://sn.coinafrique.com/categorie/appartements","Vente appartements 4 pièces 5e étage   - Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-5e-etage-almadies-5378687","4","4","145","Almadies, Dakar, Sénégal"
"1752362049-30","https://sn.coinafrique.com/categorie/appartements","Location appartements 5 pièces à Grand Dakar","https://sn.coinafrique.com/annonce/appartements/location-appartements-5-pieces-a-grand-dakar-5375566","5","2","12","Grand Dakar, Dakar, Sénégal"
"1752362055-31","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5389854","3","3","130","Mamelles, Dakar, Sénégal"
"1752362061-32","https://sn.coinafrique.com/categorie/appartements","Location mini studio 1 pièce - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-mini-studio-1-piece-mamelles-5398823","1","","","Mamelles, Dakar, Sénégal"
"1752362065-33","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - cité Biagui","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-biagui-5388260","4","3","135","Yoff, Dakar, Sénégal"
"1752362071-34","https://sn.coinafrique.com/categorie/appartements","Vente appartement 4 pièces - Point E","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-point-e-5400686","4","148","","Point E, Dakar, Sénégal"
"1752362076-35","https://sn.coinafrique.com/categorie/appartements","Location appartement  2 chambres  Sedima Almadi 2","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-chambres-sedima-almadi-2-5389980","3","2","","Mbao, Dakar, Sénégal"
"1752362085-36","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces à Fann","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-a-fann-5420174","3","2","12","Fann, Dakar, Sénégal"
"1752362091-37","https://sn.coinafrique.com/categorie/appartements","Location appartement  f3 à Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-ouakam-5375642","3","2","","Ouakam, Dakar, Sénégal"
"1752362095-38","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - cité Djily mbaye","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-djily-mbaye-5388398","4","3","135","Yoff, Dakar, Sénégal"
"1752362104-39","https://sn.coinafrique.com/categorie/appartements","Location appartement  F4 à au Point E","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-au-point-e-5395122","4","3","","Point E, Dakar, Sénégal"
"1752362113-40","https://sn.coinafrique.com/categorie/appartements","Location appartement à  Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-a-mermoz-5415126","4","5","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362119-41","https://sn.coinafrique.com/categorie/appartements","Location appartement 3 chambres -  à Ngor Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-chambres-a-ngor-almadies-5415145","3","4","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362124-42","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Yoff","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-5406911","4","2","132","Yoff, Dakar, Sénégal"
